type,event,date,cal_close,temp_close,force_close,city_work,schedule,check_in,open
TEMPORARY_CLOSING,start,2021-06-14T18:54:46.099Z,0,1,0,1,2,1,False
TEMPORARY_CLOSING,end,2021-06-14T18:54:51.947Z,0,0,0,1,2,1,True
CHECK_IN,start,2021-06-14T18:54:51.957Z,0,0,0,1,2,2,True
TEMPORARY_CLOSING,start,2021-06-14T19:43:33.308Z,0,1,0,1,2,2,False
TEMPORARY_CLOSING,end,2021-06-14T19:43:38.003Z,0,0,0,1,2,2,True
CHECK_IN,start,2021-06-14T19:43:38.048Z,0,0,0,1,2,3,True
TEMPORARY_CLOSING,start,2021-06-14T19:43:48.690Z,0,1,0,1,2,3,False
TEMPORARY_CLOSING,end,2021-06-14T19:45:53.443Z,0,0,0,1,2,3,True
CHECK_IN,start,2021-06-14T19:45:53.452Z,0,0,0,1,2,4,True
TEMPORARY_CLOSING,start,2021-06-14T19:46:11.329Z,0,1,0,1,2,4,False
TEMPORARY_CLOSING,end,2021-06-14T19:47:11.567Z,0,0,0,1,2,4,True
CHECK_IN,start,2021-06-14T19:47:11.577Z,0,0,0,1,2,5,True
TEMPORARY_CLOSING,start,2021-06-14T19:55:25.180Z,0,1,0,1,2,5,False
TEMPORARY_CLOSING,end,2021-06-14T19:56:33.372Z,0,0,0,1,2,5,True
CHECK_IN,start,2021-06-14T19:56:33.376Z,0,0,0,1,2,6,True
TEMPORARY_CLOSING,start,2021-06-14T20:58:29.214Z,0,1,0,1,2,6,False
TEMPORARY_CLOSING,end,2021-06-14T20:58:36.863Z,0,0,0,1,2,6,True
CHECK_IN,start,2021-06-14T20:58:36.874Z,0,0,0,1,2,7,True
TEMPORARY_CLOSING,start,2021-06-14T20:59:32.627Z,0,1,0,1,2,7,False
CITY_WORKING,end,2021-06-14T21:00:00.000Z,0,1,0,0,2,7,False
TEMPORARY_CLOSING,end,2021-06-14T21:00:08.279Z,0,0,0,0,2,7,False
CHECK_IN,start,2021-06-14T21:00:08.285Z,0,0,0,0,2,8,False
CHECK_IN,end,2021-06-14T21:09:00.000Z,0,0,0,0,2,7,False
CHECK_IN,end,2021-06-14T21:09:00.000Z,0,0,0,0,2,6,False
CHECK_IN,end,2021-06-14T21:09:00.000Z,0,0,0,0,2,5,False
CHECK_IN,end,2021-06-14T21:09:00.000Z,0,0,0,0,2,4,False
CHECK_IN,end,2021-06-14T21:09:00.000Z,0,0,0,0,2,3,False
CHECK_IN,end,2021-06-14T21:09:00.000Z,0,0,0,0,2,2,False
CHECK_IN,end,2021-06-14T21:09:00.000Z,0,0,0,0,2,1,False
TEMPORARY_CLOSING,start,2021-06-14T21:14:23.832Z,0,1,0,0,2,1,False
TEMPORARY_CLOSING,end,2021-06-14T21:14:30.184Z,0,0,0,0,2,1,False
CHECK_IN,start,2021-06-14T21:14:30.188Z,0,0,0,0,2,2,False
TEMPORARY_CLOSING,start,2021-06-14T21:53:25.132Z,0,1,0,0,2,2,False
SCHEDULE,end,2021-06-14T21:59:00.000Z,0,1,0,0,1,2,False
SCHEDULE,end,2021-06-14T21:59:00.000Z,0,1,0,0,0,2,False
TEMPORARY_CLOSING,end,2021-06-14T21:59:00.000Z,0,0,0,0,0,2,False
CHECK_IN,end,2021-06-14T21:59:00.000Z,0,0,0,0,0,1,False
CHECK_IN,end,2021-06-14T21:59:00.000Z,0,0,0,0,0,0,False
CITY_WORKING,start,2021-06-15T04:00:00.000Z,0,0,0,1,0,0,False
SCHEDULE,start,2021-06-15T10:30:00.000Z,0,0,0,1,1,0,False
SCHEDULE,start,2021-06-15T10:30:00.000Z,0,0,0,1,2,0,False
CHECK_IN,start,2021-06-15T10:50:12.695Z,0,0,0,1,2,1,True
TEMPORARY_CLOSING,start,2021-06-15T18:16:38.633Z,0,1,0,1,2,1,False
TEMPORARY_CLOSING,end,2021-06-15T18:18:03.416Z,0,0,0,1,2,1,True
CHECK_IN,start,2021-06-15T18:18:03.420Z,0,0,0,1,2,2,True
TEMPORARY_CLOSING,start,2021-06-15T19:51:28.779Z,0,1,0,1,2,2,False
TEMPORARY_CLOSING,end,2021-06-15T19:51:38.418Z,0,0,0,1,2,2,True
CHECK_IN,start,2021-06-15T19:51:38.424Z,0,0,0,1,2,3,True
